Number,Date,Time_code,Time,Name,ID_Type,Photo,LAT,LONG,S_F_R,Number,H_V,D_T_C
173,20/04/2009,3,16:32,JACK,CARAPACE,IMG_0127-29,20.3942,-87.31345,F,3,V,
174,20/04/2009,3,16:37,RAMON,HEAD,IMG_0130-32,20.39475,-87.31371667,S,2,H,
175,20/04/2009,3,16:39,UNOMAS,HEAD,IMG_0133-35,20.39486667,-87.3139,S,5,V,
176,20/04/2009,3,16:42,TICTAC,HEAD,IMG_0136-39,20.39468333,-87.31403333,F,,,
177,20/04/2009,3,16:46,JUANITA,HEAD,IMG_0140-42,20.39426667,-87.31375,F,,,
178,20/04/2009,3,16:50,VEGAS,HEAD,IMG_0143-46,20.39473333,-87.31443333,F,,,
179,23/04/2009,1,09:16,FRANKIE,HEAD,IMG_0088,20.39403333,-87.31271667,S,,,
180,23/04/2009,1,09:22,MARGARITA,HEAD,IMG_0089,20.39513333,-87.31351667,S,,,
181,23/04/2009,1,09:30,VENUS,HEAD,IMG_0090/91,20.39418333,-87.31338333,F,,,
182,23/04/2009,1,09:41,LENNON,HEAD,IMG_0093,20.39406667,-87.31356667,F,,,
183,23/04/2009,1,09:41,WINSTON,HEAD,IMG_0094,20.39406667,-87.31356667,F,,,
184,23/04/2009,1,09:58,VEX,HEAD,IMG_0095,20.39406667,-87.31405,F,,,
185,23/04/2009,1,10:00,QUE ONDA,CARAPACE,IMG_0096,20.39456667,-87.31436667,F,,,
186,23/04/2009,1,10:03,LUNA LLENA,HEAD,IMG_0097,20.39486667,-87.31446667,S,,,
187,23/04/2009,2,12:52,SPLIT,CARAPACE,IMG_0103-6,20.39395,-87.31263333,S,2,H,
188,23/04/2009,2,13:11,BLACKNOSE,HEAD,IMG_0107-11,20.39445,-87.31381667,F,,,
189,23/04/2009,2,13:17,JACK,HEAD,IMG_0112-15,20.39408333,-87.31371667,F,2,V,
190,23/04/2009,3,16:55,LUNA LLENA,CARAPACE,IMG_0118/19,20.3953,-87.31256667,S,,,
191,23/04/2009,3,16:55,PLUTO,HEAD,IMG_0120-22,20.3953,-87.31256667,S,,,
192,23/04/2009,3,17:00,ASTRO,CARAPACE,IMG_0123-25,20.39406667,-87.31281667,S,,,
193,23/04/2009,3,17:10,DOT,HEAD,IMG_0126-28,20.3953,-87.31333333,F,,,
194,23/04/2009,3,17:14,HEX,HEAD,IMG_0129/30,20.39376667,-87.3128,S,,,
195,23/04/2009,3,17:21,FRANKIE,CARAPACE,IMG_0131,20.3953,-87.31435,S,,,
196,23/04/2009,3,17:23,JACK,CARAPACE,IMG_0132,20.3953,-87.31355,F,,,
197,23/04/2009,3,17:25,SWEEP,HEAD,IMG_0133,20.3953,-87.31361667,F,,,
198,23/04/2009,3,17:27,RAYA,HEAD,IMG_0134/35,20.3953,-87.31385,F,,,
199,23/04/2009,3,17:27,ESPERANZA,HEAD,IMG_0136,20.3953,-87.31385,F,,,
200,23/04/2009,3,17:27,BITSY,HEAD,IMG_0137,20.3953,-87.31385,F,,,
201,23/04/2009,3,17:31,NAOMI,HEAD,IMG_0138-40,20.3953,-87.31396667,S,,,
202,23/04/2009,3,17:32,ZIGGY,HEAD,IMG_0141,20.3953,-87.31421667,F,,,
203,23/04/2009,3,17:32,AMAPOLA,HEAD,IMG_0142,20.3953,-87.31421667,F,,,
204,23/04/2009,3,17:32,DAMA,HEAD,IMG_0143/44,20.3953,-87.31421667,F,,,
205,23/04/2009,3,17:32,UNOMAS,HEAD,IMG_0145/46,20.3953,-87.31421667,F,,,
206,23/04/2009,3,17:45,RODDY,HEAD,IMG_0147,20.3953,-87.31473333,F,,,
207,30/04/2009,1,09:10,ANTONIO,HEAD,IMG_0181/82,20.39431667,-87.31295,S,,,
208,30/04/2009,1,09:19,BLACKNOSE,HEAD,IMG_0183,20.39455,-87.3135,F,,,
210,30/04/2009,1,09:37,CHARLIE,CARAPACE,IMG_0186,20.39495,-87.31411667,S,,,
211,30/04/2009,1,09:38,NAOMI,CARAPACE,IMG_0187,20.39483333,-87.31406667,F,,,
212,30/04/2009,1,09:39,NOMAD,HEAD,IMG_0188,20.39483333,-87.31406667,F,,,
213,30/04/2009,1,09:43,WUZZY,HEAD,IMG_0189/90,20.39415,-87.31346667,F,,,
214,30/04/2009,1,09:43,LENNON,HEAD,IMG_0191,20.39415,-87.31346667,F,,,
215,30/04/2009,1,09:51,WINSTON,HEAD,IMG_0192/93,20.39411667,-87.31355,F,14,V,
216,30/04/2009,1,09:57,VEX,CARAPACE,IMG_0194,20.39478333,-87.3141,F,,,
218,30/04/2009,2,12:53,RAMON,HEAD,IMG_0196,20.39395,-87.31266667,S,,,
219,30/04/2009,2,12:53,QUE ONDA,CARAPACE,IMG_0197/200,20.39395,-87.31266667,F,,,
220,30/04/2009,2,13:03,JACK,HEAD,IMG_0198/99,20.39408333,-87.31276667,S,,,
221,30/04/2009,2,13:03,ANTONIO,HEAD,IMG_0201-3,20.39408333,-87.31276667,S,,,
222,30/04/2009,2,13:15,UNOMAS,HEAD,IMG_0210-13,20.3946,-87.31373333,F,5,V,T
223,30/04/2009,2,13:18,WINSTON,HEAD,IMG_0214-17,20.39416667,-87.31353333,F,,,
224,30/04/2009,2,13:20,LENNON,HEAD,IMG_0218/19,20.39416667,-87.31353333,S,,,
225,30/04/2009,2,13:30,ESPERANZA,CARAPACE,IMG_0220-22,20.39468333,-87.31403333,S,,,
226,30/04/2009,3,17:00,JOSE,HEAD,IMG_0223/4,20.3953,-87.31325,S,,,
227,30/04/2009,3,17:09,DOT,HEAD,IMG_0225-28,20.39471667,-87.31346667,F,,,
228,30/04/2009,3,17:10,CHARLIE,HEAD,IMG_0229-31,20.39471667,-87.31346667,S,,,
229,30/04/2009,3,17:16,LIZ,HEAD,IMG_0232-34,20.39488333,-87.31353333,S,,,
231,30/04/2009,3,17:25,ZIGGY,HEAD,IMG_0237/38,20.39475,-87.31366667,F,,,
232,30/04/2009,3,17:27,VEX,HEAD,IMG_0239-41,20.39415,-87.31353333,F,,,
233,30/04/2009,3,17:32,WINSTON,HEAD,IMG_0242-44,20.39433333,-87.31408333,F,,,
234,30/04/2009,3,17:36,FRANKIE,HEAD,IMG_0245-46,20.39471667,-87.31408333,F,,,
235,30/04/2009,3,17:36,ESTRELLA,HEAD,IMG_0247/48,20.39471667,-87.31425,F,,,
236,30/04/2009,3,17:37,DASH,CARAPACE,IMG_0249/50,20.3948,-87.31425,F,,,
237,30/04/2009,3,17:38,SCAR,CARAPACE,IMG_0251/52,20.39476667,-87.31421667,F,,,
238,04/05/2009,1,09:22,WINSTON,HEAD,IMG_0181/82,20.394,-87.31333333,F,,,
242,04/05/2009,1,09:40,WUZZY,HEAD,IMG_0185/86,20.39413333,-87.31381667,F,,,
243,04/05/2009,1,09:44,LENNON,HEAD,IMG_0187,20.39401667,-87.31361667,F,,,
244,04/05/2009,1,09:53,JACK,CARAPACE,IMG_0188-90,20.39443333,-87.31463333,R/S,,,
